name,price,rr
Cellecor E3,"₹1,176",28 Ratings & 1 Reviews
"realme C30 (Denim Black, 32 GB)","₹5,749","94,043 Ratings & 4,998 Reviews"
"realme C30 (Bamboo Green, 32 GB)","₹5,749","94,043 Ratings & 4,998 Reviews"
"realme C30 (Lake Blue, 32 GB)","₹5,749","94,043 Ratings & 4,998 Reviews"
"realme C30 (Denim Black, 32 GB)","₹6,749","43,715 Ratings & 2,770 Reviews"
"realme C30 (Lake Blue, 32 GB)","₹6,749","43,715 Ratings & 2,770 Reviews"
"realme C30 (Bamboo Green, 32 GB)","₹6,749","43,715 Ratings & 2,770 Reviews"
"POCO M4 5G (Cool Blue, 64 GB)","₹12,999","61,524 Ratings & 4,527 Reviews"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹10,999","1,32,937 Ratings & 7,608 Reviews"
"POCO M4 5G (Power Black, 64 GB)","₹12,999","61,524 Ratings & 4,527 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999","1,32,937 Ratings & 7,608 Reviews"
"POCO C55 (Cool Blue, 128 GB)","₹9,999","2,967 Ratings & 134 Reviews"
"POCO C50 (Royal Blue, 32 GB)","₹6,499","10,601 Ratings & 441 Reviews"
"POCO M4 5G (Cool Blue, 128 GB)","₹14,999","30,908 Ratings & 2,307 Reviews"
"POCO C50 (Country Green, 32 GB)","₹6,499","10,601 Ratings & 441 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","1,32,937 Ratings & 7,608 Reviews"
"realme C55 (Rainy Night, 128 GB)","₹13,999",
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹7,499","5,937 Ratings & 219 Reviews"
"realme C55 (Sunshower, 64 GB)","₹11,999",
"POCO C55 (Cool Blue, 64 GB)","₹8,499","4,740 Ratings & 217 Reviews"
"POCO C55 (Power Black, 128 GB)","₹9,999","2,967 Ratings & 134 Reviews"
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹76,999","7,267 Ratings & 473 Reviews"
"POCO C31 (Royal Blue, 64 GB)","₹7,499","2,11,844 Ratings & 13,425 Reviews"
"POCO M4 5G (Power Black, 128 GB)","₹14,999","30,908 Ratings & 2,307 Reviews"
"vivo T1 44W (Starry Sky, 128 GB)","₹14,499","97,242 Ratings & 6,495 Reviews"
"vivo T1 44W (Starry Sky, 128 GB)","₹15,999","55,596 Ratings & 3,920 Reviews"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹7,749","8,015 Ratings & 706 Reviews"
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹15,999","55,596 Ratings & 3,920 Reviews"
"POCO M4 5G (Yellow, 64 GB)","₹12,999","61,524 Ratings & 4,527 Reviews"
"Infinix SMART 7 (Night Black, 64 GB)","₹7,499","6,823 Ratings & 365 Reviews"
"Infinix SMART 7 (Azure Blue, 64 GB)","₹7,499","6,823 Ratings & 365 Reviews"
"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,499","6,823 Ratings & 365 Reviews"
Nokia 105 SS,"₹1,299","34,384 Ratings & 2,385 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹11,999","1,32,937 Ratings & 7,608 Reviews"
"realme C55 (Sunshower, 128 GB)","₹13,999",
"realme C55 (Rainy Night, 64 GB)","₹11,999",
"POCO C55 (Power Black, 64 GB)","₹8,499","4,740 Ratings & 217 Reviews"
"realme C55 (Sunshower, 64 GB)","₹10,999",
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹76,999","7,267 Ratings & 473 Reviews"
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999",546 Ratings & 41 Reviews
"POCO M4 5G (Cool Blue, 128 GB)","₹14,999","30,908 Ratings & 2,307 Reviews"
"APPLE iPhone 14 (Starlight, 128 GB)","₹70,999","25,771 Ratings & 986 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","₹11,999","1,32,937 Ratings & 7,608 Reviews"
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹11,999","1,32,937 Ratings & 7,608 Reviews"
"vivo T1 44W (Starry Sky, 128 GB)","₹17,999","6,331 Ratings & 508 Reviews"
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹17,999","6,331 Ratings & 508 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)","₹5,299","94,043 Ratings & 4,998 Reviews"
"APPLE iPhone 11 (Black, 64 GB)","₹37,999","1,88,775 Ratings & 10,984 Reviews"
